XY,-76,-17,-14,19,30,31,45,46,60,79
-99,0.0066,0.009,0.0062,0.0003,0.0024,0.0354,0.0038,0.0047,0.0047,0.009
-74,0.0066,0.0025,0.0094,0.0064,0.0393,0.012,0.0059,0.0303,0.0081,0.0023
-66,0.003,0.0015,0.0156,0.0042,0.0031,0.002,0.009,0.0183,0.0178,0.0038
-27,0.0081,0.0015,0.0074,0.0066,0.0007,0.0034,0.0065,0.0023,0.0053,0.01
42,0.0017,0.0206,0.0053,0.0008,0.0039,0.0175,0.0181,0.0104,0.0051,0.0033
77,0.025,0.0123,0.0004,0.0094,0.0253,0.0211,0.0203,0.004,0.0245,0.0104
78,0.002,0.0044,0.0001,0.0056,0.0041,0.0151,0.0062,0.0007,0.0006,0.0065
83,0.0104,0.0025,0.011,0.0458,0.0002,0.0221,0.0197,0.0261,0.0046,0.0058
86,0.0082,0.033,0.0069,0.0018,0.0195,0.0137,0.0108,0.015,0.0157,0.0073
89,0.006,0.0169,0.0081,0.0059,0.0068,0.0109,0.0088,0.0061,0.0061,
